Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1999-01-04,12.005314826965332,11.677949905395508,11.320430755615234,15.107009887695312,24.62367057800293,14.411656379699707,11.8031644821167,17.54365348815918,19.203550338745117
1999-01-05,12.29981517791748,11.615375518798828,11.426094055175781,15.418885231018066,25.253252029418945,14.520329475402832,11.945744514465332,17.818435668945312,19.527074813842773
1999-01-06,12.51637077331543,11.998644828796387,11.78834342956543,15.750269889831543,25.999422073364258,14.695868492126465,12.069727897644043,18.11434555053711,20.081697463989258
1999-01-07,12.421083450317383,11.943886756896973,11.969472885131836,15.613824844360352,25.917804718017578,14.528681755065918,12.026334762573242,18.02980613708496,20.058582305908203
1999-01-08,12.845511436462402,11.998644828796387,12.044939994812012,15.73078441619873,26.022741317749023,14.47016716003418,12.094527244567871,18.251737594604492,20.081697463989258
1999-01-11,12.871498107910156,11.771807670593262,11.863815307617188,15.584578514099121,26.279233932495117,14.17758560180664,11.772171020507812,18.294017791748047,19.977697372436523
1999-01-12,12.542346000671387,11.591911315917969,11.53174877166748,15.39940357208252,25.568050384521484,14.06890869140625,11.778367042541504,18.220035552978516,19.457763671875
1999-01-13,12.26517105102539,11.419831275939941,11.380802154541016,15.009539604187012,25.556385040283203,14.093996047973633,11.85895824432373,18.050935745239258,19.550189971923828
1999-01-14,12.057292938232422,11.200815200805664,11.09402084350586,14.941319465637207,25.20661735534668,13.826496124267578,11.660582542419434,17.902984619140625,19.11111831665039
1999-01-15,12.239188194274902,11.372900009155273,11.410994529724121,15.194724082946777,25.952791213989258,13.976959228515625,11.716376304626465,18.14606285095215,19.353761672973633
1999-01-19,12.013981819152832,11.372900009155273,11.350619316101074,15.165488243103027,26.850526809692383,13.818135261535645,12.113122940063477,18.663902282714844,19.342208862304688
1999-01-20,11.970667839050293,11.279037475585938,11.433636665344238,15.097264289855957,27.095365524291992,13.859933853149414,12.063525199890137,18.769590377807617,19.665733337402344
1999-01-21,11.918694496154785,11.372900009155273,11.229862213134766,14.970555305480957,26.39581871032715,13.650949478149414,12.020132064819336,18.11434555053711,19.480863571166992
1999-01-22,11.684828758239746,11.310325622558594,11.154403686523438,14.6781644821167,25.92947769165039,13.584067344665527,12.100728034973145,18.04037094116211,19.573301315307617
1999-01-25,11.918694496154785,11.294677734375,11.244956016540527,14.92182445526123,26.38416862487793,13.550626754760742,11.648187637329102,18.188329696655273,19.527074813842773
1999-01-26,11.884055137634277,11.18517780303955,11.252510070800781,14.92182445526123,27.44513511657715,13.868287086486816,11.877549171447754,18.27288055419922,19.9892578125
1999-01-27,11.788765907287598,10.981804847717285,11.109115600585938,15.03878402709961,26.862184524536133,14.052201271057129,11.697782516479492,18.093204498291016,19.966150283813477
1999-01-28,11.641521453857422,10.919234275817871,11.275152206420898,15.058271408081055,27.806568145751953,14.302977561950684,11.716376304626465,18.43140411376953,20.174135208129883
1999-01-29,11.702156066894531,10.919234275817871,11.51665210723877,15.155750274658203,28.214630126953125,14.336421012878418,11.697782516479492,18.43140411376953,20.312782287597656
1999-02-01,11.797435760498047,10.80972671508789,11.320430755615234,15.175230026245117,28.237937927246094,14.277905464172363,11.672982215881348,18.537092208862305,20.35899543762207
1999-02-02,11.806097984313965,10.825374603271484,11.19968032836914,15.058271408081055,27.759933471679688,14.394940376281738,11.5180025100708,18.262310028076172,20.10479736328125
1999-02-03,11.8147554397583,11.07567310333252,11.282695770263672,15.204474449157715,27.95811653137207,14.344783782958984,11.579997062683105,18.61105728149414,20.428329467773438
1999-02-04,12.161230087280273,11.138243675231934,11.018552780151367,15.223963737487793,27.00210189819336,14.277905464172363,11.406421661376953,18.473676681518555,20.312782287597656
1999-02-05,12.325801849365234,11.451119422912598,10.927988052368164,15.175230026245117,26.349201202392578,14.060562133789062,11.412619590759277,18.262310028076172,19.804391860961914
1999-02-08,12.26517105102539,11.607559204101562,10.897798538208008,15.223963737487793,26.792234420776367,14.03548526763916,11.412619590759277,18.251737594604492,20.12791633605957
1999-02-09,12.031302452087402,11.388542175292969,10.746864318847656,15.019289016723633,25.742935180664062,13.78469467163086,11.462210655212402,17.92411994934082,19.50397491455078
1999-02-10,12.057292938232422,11.419831275939941,10.837425231933594,15.07776927947998,25.92947769165039,13.885009765625,11.381621360778809,17.966388702392578,19.50397491455078
1999-02-11,11.93602466583252,11.325968742370605,11.275152206420898,15.282447814941406,27.025419235229492,14.119075775146484,11.43121337890625,18.452537536621094,20.13947105407715
1999-02-12,11.875386238098145,11.091313362121582,11.109115600585938,15.194724082946777,25.952791213989258,14.002038955688477,11.24524211883545,18.177759170532227,19.781280517578125
1999-02-16,11.762781143188477,11.013094902038574,11.275152206420898,15.27269458770752,25.836191177368164,14.169230461120605,11.449807167053223,18.346853256225586,20.03548240661621
1999-02-17,11.641521453857422,10.903590202331543,11.320430755615234,15.27269458770752,25.253252029418945,14.027117729187012,11.36922550201416,18.156620025634766,19.966150283813477
1999-02-18,11.72813606262207,10.93487548828125,11.433636665344238,15.27269458770752,25.393163681030273,14.17758560180664,11.573796272277832,18.38913345336914,19.9892578125
1999-02-19,11.823418617248535,10.87230396270752,11.471370697021484,15.37016487121582,25.62633514404297,14.119075775146484,11.449807167053223,18.441972732543945,20.093236923217773
1999-02-22,12.022634506225586,10.981804847717285,11.803434371948242,15.604074478149414,26.535734176635742,14.42000961303711,11.821768760681152,18.833005905151367,20.601642608642578
1999-02-23,11.918694496154785,10.887951850891113,11.95438289642334,15.594324111938477,26.885507583618164,14.394940376281738,11.449807167053223,18.80130386352539,20.49764633178711
